x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11
23820	21761	2	4	200	9.8	7.6	1250	257	437	173
26990	24647	2.4	4	200	10.7	8.1	1454	267	465	175
25940	23508	1.8	4	170	10.7	7.6	1463	264	455	178
28495	26155	2.5	6	184	11.8	8.1	1449	272	447	175
26470	24282	3.8	6	205	11.8	8.1	1605	284	508	188
24895	22835	3.8	6	200	11.8	7.8	1557	277	498	185
28345	26047	3.8	6	240	13.1	8.4	1591	277	498	185
25000	22931	3.8	6	200	11.8	7.8	1564	282	508	185
27995	25672	3.8	6	240	13.1	8.4	1623	282	508	185
23495	21551	3.5	6	200	10.2	7.4	1492	269	478	178
24225	22222	3.8	6	200	13.1	8.4	1545	282	503	185
29865	27797	3.5	6	250	13.1	8.7	1611	287	503	188
24130	22452	2.7	6	200	11.2	8.1	1566	287	528	188
26860	24909	3.5	6	232	12.4	8.7	1597	287	528	188
25955	24172	2.4	4	220	11.2	8.7	1448	262	429	170
25215	23451	2.4	4	150	10.7	7.8	1511	269	493	163
24885	23058	3.5	6	232	13.1	8.7	1569	287	518	191
24345	22856	4.6	8	224	13.8	9.4	1826	292	538	198
27370	25105	4.6	8	224	13.8	9.4	1826	292	538	198
23760	21428	3	6	240	11.2	7.8	1507	274	483	183
26960	24304	3	6	240	11.2	7.8	1482	267	478	180
24589	22055	3.5	6	194	13.8	9	1643	274	488	183
26189	23486	3.5	6	194	13.8	9	1643	274	488	183
28495	26157	3.5	6	260	13.1	9	1501	284	475	175
29795	27536	3.5	6	280	13.1	9	1537	284	462	183
29995	27355	2.5	6	192	13.1	9	1543	272	467	178
26000	23764	3.5	6	195	13.8	9.4	0	279	498	185
26060	24249	1.8	4	189	10.7	7.8	1463	272	452	173
28370	26435	3.2	6	215	12.4	9	1544	272	452	173
24695	23217	4.6	8	224	13.8	9.4	1823	292	538	198
29595	27148	4.6	8	224	13.8	9.4	1823	292	538	198
23895	21918	3	6	201	12.4	9	1492	277	508	185
29282	27250	3.5	6	205	13.1	9.4	1597	272	493	178
25700	23883	3.8	6	230	13.1	9	1642	274	485	183
23290	21580	3.5	6	245	11.2	9	1439	279	488	178
27490	25182	3.5	6	265	11.8	8.4	1563	282	493	183
29440	26966	3.5	6	265	11.8	8.4	1564	282	493	183
23675	21485	3.4	6	170	11.8	8.1	1388	272	475	178
24295	22284	3.8	6	200	11.8	7.8	1568	282	503	188
25645	23336	2.5	4	165	11.2	8.4	1528	264	467	175
27145	24687	2.5	4	165	11.8	8.7	1573	264	467	175
29345	26660	3	6	212	12.4	9	1625	264	467	175
26560	23693	3	6	210	11.2	8.1	1538	272	488	183
25920	23125	3	6	210	11.2	8.1	1513	272	480	180
26510	23908	3.3	6	225	11.8	8.1	1548	272	490	183
23785	21686	2.8	6	200	11.2	7.8	1431	251	437	173
23215	21689	2	4	115	9.8	7.8	1387	251	409	173
23955	21898	1.8	4	170	10.7	7.6	1458	269	470	175
25135	23701	1.9	4	170	10.7	8.1	1245	257	452	173
33195	30299	3.2	6	270	11.8	8.4	1609	274	472	183
35940	32506	1.8	4	170	10.2	7.8	1637	267	457	178
31840	28846	3	6	220	11.8	8.4	1558	264	455	178
33430	30366	3	6	220	13.8	9	1612	264	455	178
34480	31388	3	6	220	13.1	9.4	1632	264	455	178
36640	33129	3	6	220	11.8	8.7	1602	277	488	180
39640	35992	3	6	220	13.1	9.4	1746	277	488	180
30795	28245	2.5	6	184	11.8	8.1	1439	272	450	175
37995	34800	2.5	6	184	12.4	8.7	1602	272	450	175
30245	27745	2.5	6	184	12.4	8.7	1557	272	447	175
35495	32525	3	6	225	11.8	7.8	1478	272	447	175
36995	33890	3	6	225	11.8	7.8	1478	272	447	175
37245	34115	3	6	225	11.8	8.1	1567	272	447	175
39995	36620	2.5	6	184	12.4	8.4	1543	290	485	185
32245	29566	3.8	6	205	11.8	8.1	1616	284	508	188
35545	32244	3.8	6	205	11.8	8.1	1700	290	526	191
30835	28575	3.6	6	255	13.1	9.4	1662	287	483	180
33295	30884	3.5	6	255	13.1	8.7	1643	287	503	188
30950	28613	2.7	6	200	11.2	8.4	1552	269	493	175
30315	27756	4.6	8	239	13.8	9.4	1826	292	538	198
32445	29783	3.5	6	260	13.1	9	1655	284	475	175
31145	28320	3.5	6	255	12.4	9	1488	274	493	178
33995	30995	3	6	227	13.1	9.4	1582	272	467	178
32350	28755	3.3	6	225	11.8	8.1	1557	272	485	180
31045	27404	3	6	215	13.1	9.4	1465	267	450	173
32415	28611	3	6	215	13.1	9.8	1478	267	450	173
32495	29969	3	6	232	11.8	9	1656	292	493	185
36895	33929	3	6	232	11.8	9	1656	292	493	185
32280	30071	2.6	6	168	11.8	9.4	1512	272	452	173
33480	31187	2.6	6	168	12.4	9.4	1512	272	452	173
35920	33456	3.2	6	215	12.4	9	1544	272	452	173
37630	35046	3.2	6	215	11.8	9	1553	272	452	173
38830	36162	3.2	6	215	12.4	8.7	0	272	452	173
30895	28318	4.6	8	224	13.8	9.4	1823	292	538	198
34495	31558	4.6	8	302	13.8	10.2	1888	292	538	198
35995	32997	4.6	8	275	12.3	9.1	1706	284	516	188
30860	29269	2	4	210	11.8	8.4	1429	267	465	175
33360	31562	2	4	210	11.8	8.4	1429	267	465	175
35105	33011	2.3	4	220	11.2	8.1	1562	269	483	180
39465	37721	2.3	4	250	11.2	8.1	1562	269	483	180
31545	28603	3	6	212	12.4	9	1634	264	467	175
30920	27271	3	6	210	11.2	8.1	1548	272	488	183
33180	30583	2.8	6	190	12.4	9	1674	269	470	175
39235	36052	4	8	270	13.1	9.4	1779	269	470	175
31745	29916	2.5	5	208	11.8	8.7	1756	272	457	180
34845	32902	2.3	5	247	11.8	8.4	1695	272	457	180
37560	35382	2.5	5	300	13.1	9.4	1607	272	460	180
37730	35542	2.9	6	208	11.8	8.4	1609	279	483	183
37885	35688	2.5	5	194	11.8	8.7	1661	279	483	183
43755	39014	3.5	6	225	13.1	9.8	1746	292	500	183
46100	41100	3.5	6	225	13.1	9.8	1752	292	500	183
42490	38325	3	6	220	11.8	8.7	1716	267	457	178
44240	40075	3	6	220	13.1	9.4	1806	267	457	178
42840	38840	2.7	6	250	13.1	9.4	1726	277	488	180
49690	44936	4.2	8	300	13.8	9.8	1811	277	490	180
69190	64740	4.2	8	330	13.8	9.8	1980	307	518	191
48040	43556	4.2	8	340	16.8	11.8	1721	264	455	178
44295	40530	3	6	225	12.4	8.4	1627	272	450	175
44995	41170	3	6	225	11.8	7.8	1562	290	485	185
54995	50270	4.4	8	325	13.1	9	1716	290	485	185
69195	63190	4.4	8	325	13.1	9	1969	300	503	191
73195	66830	4.4	8	325	13.1	9	2009	312	518	191
40720	36927	3.8	6	240	13.1	8.4	1759	290	526	191
45445	41650	4.6	8	275	13.1	9	1793	292	526	188
50595	46362	4.6	8	300	13.1	9	1820	292	526	188
47955	43841	4.6	8	275	13.1	9	1796	284	511	191
42845	38792	4.5	8	340	13.8	10.2	1733	279	500	178
52545	47575	4.5	8	340	13.8	10.2	1790	287	508	185
43895	40004	3	6	235	13.1	9	1700	292	488	183
49995	45556	4.2	8	294	13.1	8.4	1743	292	488	183
63120	57499	4.2	8	390	13.8	9.8	1821	292	488	183
68995	62846	4.2	8	294	13.1	8.4	1711	302	508	185
59995	54656	4.2	8	294	13.1	8.4	1711	302	508	185
74995	68306	4.2	8	390	13.8	9.8	1777	302	508	185
41010	36196	3	6	220	13.1	9.4	1642	279	480	180
48450	42232	4.3	8	300	13.1	10.2	1672	279	480	180
55750	48583	4.3	8	290	13.1	9.4	1796	292	500	183
40095	36809	3.9	8	280	13.8	9.8	1696	292	493	185
43495	39869	3.9	8	280	13.8	9.8	1696	292	493	185
41815	38418	4.6	8	239	13.8	9.4	1966	300	546	198
44925	41217	4.6	8	239	13.8	9.4	1966	300	546	198
50470	46208	4.6	8	239	13.8	9.4	2013	315	561	198
52120	48522	3.2	6	349	14.7	11.2	1593	272	452	173
94820	88324	5	8	302	14.7	9.8	1838	290	498	185
128420	119600	5.5	12	493	18.1	12.4	2013	290	498	185
45707	41966	3.2	6	215	11.8	9	1697	272	465	175
52800	49104	5	8	302	13.8	10.7	1613	272	465	175
48170	44849	3.2	6	221	12.4	8.7	1636	284	483	180
57270	53382	5	8	302	14.7	11.8	1717	284	483	180
74320	69168	4.3	8	275	13.1	9	1872	310	516	185
86970	80939	5	8	302	14.7	9.8	1976	310	516	185
40670	38520	2	4	210	11.2	8.1	1566	267	462	175
43175	40883	2	4	210	11.2	7.8	1665	267	462	175
65000	59912	4.2	8	335	12.3	9.1	2337	300	518	191
75000	69130	6	12	420	12.3	9.1	2430	300	518	191
40565	38203	2.4	5	197	11.2	8.4	1553	267	472	183
42565	40083	2.3	5	242	11.8	9	1553	267	472	183
45210	42573	2.9	6	268	12.4	9	1644	279	483	183
89765	79978	3.2	6	290	13.8	9.8	1419	254	442	180
84600	76417	4.2	8	450	15.7	10.7	1811	277	485	198
35940	32512	1.8	4	180	11.8	8.4	1409	241	404	185
37390	33891	1.8	4	225	11.8	8.4	1314	244	404	185
40590	36739	3.2	6	250	11.2	8.1	1508	244	404	185
48195	44170	3.2	6	333	14.7	9.8	1537	274	450	178
56595	51815	3.2	6	333	14.7	10.2	1701	274	450	178
33895	31065	2.5	6	184	11.8	8.4	1319	249	409	178
41045	37575	3	6	225	11.2	8.1	1349	249	409	178
76200	70546	4.6	8	320	13.8	9.4	1641	269	452	183
44535	39068	5.7	8	350	13.1	9.4	1461	267	457	188
51535	45193	5.7	8	350	13.1	9.4	1462	267	457	188
34495	32033	3.2	6	215	13.8	9.4	1377	241	406	178
81795	74451	8.3	10	500	12.3	9.1	1535	251	447	191
18345	16943	3.8	6	193	11.8	8.1	1481	257	465	185
29380	26875	4.6	8	260	13.8	9.4	1506	257	465	185
37530	34483	3.9	8	280	13.8	9.8	1701	272	472	183
33260	29965	2.2	4	240	11.8	9.4	1276	241	411	175
18739	17101	2.7	6	172	12.4	9	1360	254	439	175
69995	63756	4.2	8	294	13.1	9	1701	259	475	180
74995	68306	4.2	8	294	13.1	9	1791	259	475	180
81995	74676	4.2	8	390	14.7	10.2	1739	259	475	180
86995	79226	4.2	8	390	14.7	10.2	1819	259	475	180
63200	55063	4.3	8	300	13.1	10.2	1728	262	452	183
22388	20701	1.8	4	142	10.2	8.4	1074	226	396	168
25193	23285	1.8	4	142	10.2	8.4	1074	226	396	168
25700	23794	1.3	1	197	13.1	9.4	1374	269	442	180
27200	25179	1.3	1	238	13.1	9.8	1363	269	442	180
90520	84325	5	8	302	14.7	10.2	1829	257	455	183
121770	113388	5.5	8	493	16.8	11.2	1906	257	455	183
126670	117854	5.5	12	493	18.1	12.4	1993	257	455	183
40320	37548	2.3	4	192	11.2	8.1	1375	241	401	173
56170	52289	3.2	6	349	13.8	10.7	1449	241	401	173
25092	23456	3	6	210	11.2	8.4	1458	257	450	175
26992	25218	3	6	210	11.2	8.4	1483	257	450	175
29562	27466	2	4	271	13.1	9	1468	262	455	178
26910	25203	3.5	6	287	11.8	9	1435	264	429	183
34390	31845	3.5	6	287	11.8	9	1543	264	429	183
33500	30710	5.7	8	340	12.3	9.1	1676	279	483	185
79165	69229	3.6	6	315	13.1	9	1411	236	445	178
84165	72206	3.6	6	315	13.8	9.8	1458	236	445	183
76765	67128	3.6	6	315	13.1	9	1404	236	445	178
192465	173560	3.6	6	477	13.8	9.8	1409	236	445	183
43365	37886	2.7	6	228	11.8	8.1	1265	241	432	178
52365	45766	3.2	6	258	13.1	9	1310	241	432	178
25045	23022	2	4	227	11.8	8.7	1388	251	442	175
31545	29130	2.5	4	300	13.1	9.8	1468	254	442	175
22570	20363	1.8	4	180	9.8	7.1	1125	259	434	173
25130	22787	1.8	4	138	9	7.4	988	246	389	170
52795	48377	5.3	8	295	16.8	13.1	2415	295	505	201
46995	43523	4.6	8	320	14.7	11.2	1936	295	495	185
42735	37422	5.3	8	295	16.8	13.1	2226	330	556	201
41465	36287	5.3	8	295	16.8	13.1	2273	295	500	201
32235	29472	4.7	8	230	15.7	11.2	2244	302	511	193
41475	36494	6.8	10	310	12.3	9.1	3236	348	577	203
34560	30468	4.6	8	232	15.7	12.4	2250	302	523	201
31890	28922	4.2	6	275	15.7	12.4	2225	328	528	191
35725	31361	4.8	8	285	14.7	12.4	2269	295	505	201
46265	40534	6	8	325	18.1	13.8	2760	330	556	201
49995	45815	6	8	316	23.5	19.6	2880	312	483	206
31849	29977	4.2	6	275	15.7	11.8	2235	328	528	193
52775	46360	5.4	8	300	18.1	13.1	2686	302	523	203
33840	30815	5.6	8	305	18.1	12.4	2256	312	526	201
35695	31827	4.7	8	240	16.8	13.8	2372	300	518	198
36945	33337	3.5	6	265	13.8	10.2	2003	269	480	196
37000	33873	3	6	225	14.7	10.2	1810	279	457	185
52195	47720	4.4	8	325	14.7	10.7	2171	282	467	188
37895	34357	4.2	6	275	15.7	11.2	2070	287	490	191
26545	24085	3.4	6	185	12.4	9	1811	284	475	188
30295	27479	4.2	6	275	14.7	11.2	1991	287	488	191
29670	26983	4	6	210	15.7	11.8	2008	290	483	183
27560	24843	3.5	6	240	13.8	10.7	1974	269	478	196
20449	19261	3.2	6	193	13.8	11.2	1726	269	452	178
27905	25686	4	6	195	14.7	11.2	1706	269	460	183
19635	18630	3.5	6	192	14.7	12.4	1850	272	457	185
72250	65807	4.4	8	282	19.6	14.7	2421	287	495	193
45700	39838	4.7	8	235	15.7	12.4	2133	279	478	188
64800	56455	4.7	8	235	18.1	13.8	2516	284	490	193
39195	34576	3.3	6	230	13.1	9.8	1829	272	472	185
42915	39443	4.6	8	302	18.1	13.1	2175	290	490	193
76870	71540	5	8	292	18.1	16.8	2440	284	472	180
46470	43268	5	8	288	16.8	13.8	2193	282	465	183
29995	27317	4	6	210	14.7	11.2	1968	290	483	183
30492	28330	3.8	6	215	13.8	11.2	1860	277	483	188
33112	30763	3.8	6	215	15.7	12.4	2123	279	483	191
27339	25972	3.5	6	240	14.7	11.2	1742	269	465	183
21595	19810	3.4	6	185	12.4	9	1701	274	462	188
56665	49865	4.5	8	340	16.8	13.1	2228	284	478	193
20585	19238	2.2	4	143	11.2	9	1521	272	460	183
23699	22307	2.7	6	185	13.1	10.7	1657	279	475	178
27710	24801	4	6	245	13.1	11.2	1816	279	480	188
27930	24915	3.3	6	230	13.1	9.8	1771	272	470	183
54765	47986	4.7	8	325	18.1	13.8	2426	284	490	193
35515	32243	3.2	6	220	15.7	11.8	2289	284	475	193
41250	38851	2.9	6	268	15.7	11.8	2087	287	480	191
20255	19108	2.5	6	165	12.4	10.7	1290	249	414	170
22515	20907	3	6	201	13.1	10.2	1506	262	439	178
19860	18419	2.4	4	160	11.2	9.4	1466	262	455	178
18690	17334	2.4	4	160	11.2	9.8	1561	257	424	183
21589	20201	2.7	6	173	11.8	9	1597	262	450	185
20130	18973	2.4	4	150	11.8	9.8	1722	264	442	183
25520	23275	4	6	190	14.7	12.4	1609	236	381	170
39250	35777	4.6	8	217	19.6	14.7	2059	254	470	188
25995	23969	2.5	6	174	13.1	11.2	1610	257	445	180
21087	19742	2	4	130	10.7	9.4	1391	262	439	183
18892	17569	2.4	4	160	11.2	8.7	1458	262	455	175
20939	19512	3.3	6	180	13.8	11.8	1692	264	452	178
17163	16949	2.5	6	165	12.4	10.7	1359	249	414	170
20290	18553	2.4	4	161	10.7	8.7	1404	249	424	173
40840	37060	3	6	220	13.1	9.4	1816	277	488	180
49090	44446	4.2	8	340	15.7	11.2	1771	264	455	178
32845	30110	2.5	6	184	12.4	9	1617	272	447	175
22225	20394	3.5	6	200	10.7	7.8	1556	284	478	178
31230	28725	3.5	6	250	13.8	10.2	2104	295	505	201
17475	16375	2	4	130	9	7.1	1216	262	452	170
22290	20457	3	6	155	12.4	9	1574	277	503	185
34895	31756	3.5	6	280	14.7	10.7	1825	284	480	193
36395	33121	4.5	8	315	15.7	12.4	1939	284	480	193
11905	11410	1.6	4	104	9	7.1	1101	241	424	168
32455	28647	3	6	215	13.1	9.8	1535	267	450	173
33780	31466	2.6	6	168	12.4	9.4	1562	272	455	173
50670	47174	3.2	6	221	12.4	8.7	1785	284	483	180
60670	56474	5	8	302	14.7	9.8	1904	284	483	180
22595	20748	3	6	155	12.4	9	1570	277	503	185
17495	16295	2.4	4	160	12.3	9.1	1359	259	460	170
28739	27300	3.5	6	245	11.8	9.4	1710	282	478	188
17045	15973	1.8	4	130	8.1	6.5	1215	259	437	178
40845	38376	2.3	4	250	12.4	8.1	1629	269	483	180
23560	21779	2.2	4	140	9.8	6.9	1399	272	483	175
14165	13480	1.5	4	108	7.6	6.7	1091	249	394	170
21445	19646	2.5	4	165	11.2	8.4	1391	251	445	173
23895	21773	2.5	4	165	11.2	8.4	1544	264	475	175
16497	16291	2.3	4	155	9.8	8.1	1319	249	424	173
16695	15156	1.8	4	130	8.1	6.5	1206	259	434	178
19005	17427	2	4	115	9.8	7.8	1365	251	442	173
24955	22801	1.8	4	170	10.7	7.6	1502	269	467	175
40235	36956	4	8	270	13.1	9.4	1830	269	467	175
26135	24641	1.9	4	170	10.7	8.1	1270	257	457	173
35145	33112	2.5	5	208	11.8	8.7	1720	277	472	185
26395	23954	4.3	6	190	16.8	13.8	2072	282	483	198
27020	24518	3.4	6	185	12.4	9	1665	284	475	183
27490	25371	3.3	6	180	12.4	9	1831	302	511	201
38380	35063	3.8	6	215	13.1	9.4	1949	302	511	201
21795	20508	2.4	4	150	11.8	9	1738	287	480	201
32660	29812	3.8	6	215	13.1	9.4	1998	302	511	201
26930	24498	3.9	6	193	13.8	10.2	1924	307	511	196
25640	23215	4.3	6	190	14.7	11.8	1939	282	483	198
24950	22498	3.5	6	240	13.1	9.4	1940	300	511	193
27450	24744	3.5	6	240	13.1	9.4	1964	300	511	193
20615	19400	3.5	6	195	14.7	10.7	2161	292	493	191
28750	26600	3	6	200	13.1	9.4	1715	284	478	183
33995	30846	4.2	6	201	14.7	10.2	1953	307	513	196
24780	22958	3.5	6	240	12.4	9	1805	315	518	198
32780	30019	3.5	6	240	13.1	9.4	1879	315	518	198
28790	26120	3.4	6	185	12.4	9	1777	305	511	183
23845	21644	3.4	6	185	12.4	9	1711	284	475	183
31370	28454	3.4	6	185	13.1	9.8	1994	307	511	183
23495	21198	3.3	6	230	12.4	8.7	1854	302	508	196
28800	25690	3.3	6	230	12.4	8.7	1874	302	508	196
52975	48541	6	8	345	18.1	13.8	2646	330	470	180
36100	31689	5.3	8	295	16.8	13.1	2555	330	470	180
18760	17070	2.8	4	175	13.1	10.2	1630	282	470	180
20310	18480	4.3	6	200	15.7	11.2	1864	302	470	180
40340	35399	6	8	300	18.1	13.8	2162	366	470	180
41995	39306	5.3	8	300	14.7	12.4	2142	295	470	180
17630	16264	3.7	6	210	14.7	10.7	1671	284	470	180
20300	18670	3.7	6	210	14.7	10.7	1723	333	470	180
20215	18076	3.7	6	215	14.7	11.2	2044	307	470	180
22010	19490	4.6	8	231	15.7	12.4	2155	320	470	180
33540	29405	5.4	8	300	16.8	13.1	2459	338	470	180
14385	13717	2.3	4	143	9.8	8.1	1363	282	470	180
16530	14877	2.8	4	175	12.4	9.8	1508	282	470	180
25717	22604	4.8	8	285	13.8	11.8	2047	366	470	180
29322	25759	6	8	300	12.3	9.1	2448	338	470	180
25395	23043	4.3	6	190	15.7	12.4	1837	312	470	180
14840	14070	2.3	4	143	9.8	8.1	1332	284	470	180
22350	20482	4	6	207	15.7	12.4	1607	320	470	180
19479	18253	3.3	6	180	13.8	11.8	1769	295	470	180
26650	24926	5.6	8	305	16.8	13.1	2379	356	470	180
24520	22304	2.5	4	165	11.2	8.4	1568	264	470	180
12800	11879	2.4	4	142	10.7	8.7	1238	262	470	180
16495	14978	3.4	6	190	14.7	11.8	1766	325	470	180
25935	23520	3.4	6	190	16.8	13.8	1996	325	470	180
